"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\Controller\loginController.java", "Java", 62, 10, 14, 86
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\Controller\registerController.java", "Java", 67, 13, 8, 88
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\Controller\studentController.java", "Java", 246, 42, 32, 320
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\Model\ClassModel.java", "Java", 49, 1, 15, 65
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\Model\PersonModel.java", "Java", 55, 0, 17, 72
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\Model\StudentModel.java", "Java", 89, 7, 20, 116
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\Model\TeacherModel.java", "Java", 32, 1, 8, 41
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\Model\UserModel.java", "Java", 39, 1, 10, 50
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\View\LoginGUI.java", "Java", 135, 37, 20, 192
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\View\RegisterGUI.java", "Java", 142, 39, 21, 202
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\View\StudentListGUI.java", "Java", 238, 59, 41, 338
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\View\addStudentGUI.java", "Java", 296, 40, 36, 372
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\View\editStudentGUI.java", "Java", 315, 45, 40, 400
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Assignment\PROG191\Student management\src\MVC\View\viewStudentGUI.java", "Java", 305, 47, 37, 389
"Total", "-", 2070, 342, 319, 2731
